id;id_adresses;country;street_address;postal_code;city;state_province
1;48964;Malásia;Malvinas Chapéu;XML Card e-business;Kennewick;state Division
2;4909;Bôsnia;Nepalese next-generation;Account;Isis de Nossa Senhora;District Computadores Checking
3;42019;Seicheles;JBOD Congelado;e-enable;undefined Lara;Investment Dobra
4;12539;Croácia;Metal Ergonômico Áustria;Bicicleta Intranet;Clifton;Incrível
5;62428;Islândia;user-centric CSS;time-frame Cambridgeshire well-modulated;Eloá do Descoberto;compressing invoice invoice
6;24202;Romênia;mesh;invoice Azerbaijão invoice;undefined Emanuel;Alameda Salgadinhos navigating
7;26166;Bermuda;Borracha;Planner;undefined Kléber de Nossa Senhora;monitoring THX
8;15950;Bulgária;Catarina;Chapéu;Pereira do Descoberto;Technician navigating
9;2301;Ilhas Caiman;Marginal killer schemas;Berkshire Cambridgeshire Savings;undefined Lorraine;cross-media SDD Applications
10;2213;Ilha Bouvet;Bedfordshire;caramelo;undefined Lívia;Aço Rua navigate
